Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km),latitude,longitude,h3_index
2022-08-06,whitefield,Marathahalli Bridge,16349,43.44298668532497,1.16744485651582,63.75927091600244,82.57972366790148,0,82.69800000000001,48.213329688377,99.7418059089697,78.25858435496374,92,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-06,whitefield,ITPL Main Road,32112,43.78772378582805,1.5,100.0,100.0,1,114.224,31.54809724053064,61.68272569039827,72.758369265555,102,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-07,whitefield,ITPL Main Road,30044,43.59409816869968,1.5,100.0,100.0,4,110.088,24.73784118826212,80.58031512313622,79.8386471918237,111,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-07,koramangala,Sony World Junction,44009,21.84562897937884,1.5,100.0,100.0,1,138.018,46.11408653725847,79.26851015511016,60.435974856313166,114,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-08,whitefield,Marathahalli Bridge,34303,25.69350435442264,1.5,100.0,100.0,1,118.606,25.509306218318,64.75943375998723,82.47755919957329,108,Overcast,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-08,whitefield,ITPL Main Road,14928,40.98672787515995,1.1946813903705054,56.44879256094857,79.18539725603318,0,79.856,67.62100596509151,92.983244918611,69.44890607762835,199,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-08,koramangala,Sony World Junction,12647,47.38562672929442,1.1045530013717058,44.84882899629014,61.87768614897822,0,75.294,11.613192272583102,83.5628371421223,56.10355149235214,187,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-08,koramangala,Sarjapur Road,31517,20.67427676293447,1.5,100.0,100.0,3,113.034,20.65417132699215,86.58780264118039,70.47534671946276,106,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-09,whitefield,Marathahalli Bridge,17366,48.10415935217892,1.1686434428001955,59.09490736823184,84.11385036726863,0,84.732,33.5752865439344,86.22102191886094,99.23494758375554,110,Clear,Yes,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-09,whitefield,ITPL Main Road,18501,33.497718217577614,1.1997573267667307,70.32818519658436,89.6324883984851,1,87.00200000000001,26.517453817195094,99.72683076504978,69.36127727215272,120,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-09,koramangala,Sarjapur Road,53945,30.098343497959927,1.5,100.0,100.0,0,157.89,67.94483463366969,76.98683098501307,75.9127456052266,89,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-10,whitefield,ITPL Main Road,24869,33.08002993463707,1.0929720296516865,91.58468062694922,100.0,1,99.738,65.96131738420823,76.96358838404262,82.11888559288886,93,Rain,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-10,koramangala,Sony World Junction,33232,40.76676311539301,1.5,100.0,100.0,1,116.464,62.141760075996885,86.40574078588317,63.52618134519562,86,Overcast,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-10,koramangala,Sarjapur Road,32857,32.32153584219698,1.5,100.0,100.0,0,115.714,42.51577035955673,67.10555973509233,60.55957794452826,96,Fog,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-11,whitefield,ITPL Main Road,28764,29.1640936624382,1.5,99.23446006355826,100.0,1,107.528,76.93712586671576,90.70333870171316,98.16022410988752,103,Rain,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-11,koramangala,Sony World Junction,52008,36.93326618800605,1.5,100.0,100.0,4,154.01600000000002,22.871907488078016,80.6074843116537,80.30403887510788,99,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-11,koramangala,Sarjapur Road,59480,30.07080038610508,1.5,100.0,100.0,1,168.95999999999998,47.20439092051597,96.6510802891816,95.43224355596016,92,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-12,whitefield,ITPL Main Road,14069,55.55633756839825,1.3518424808244724,40.21014462581914,67.99005089864849,0,78.138,17.29251871316488,72.01261693855707,99.95893731677202,178,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-13,whitefield,Marathahalli Bridge,18172,37.48489683145203,1.1293107689872648,55.355010597259614,92.3455801446704,0,86.344,21.941780197112287,76.32120914677775,67.77999811700155,95,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-13,whitefield,ITPL Main Road,22954,52.855486691364014,1.140134893227253,84.0670903229105,100.0,2,95.908,77.05970747393594,96.3654514851171,61.81100634157272,110,Rain,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-13,koramangala,Sony World Junction,26787,37.2659462454431,1.5,88.3393305753763,100.0,2,103.574,37.30263535491031,93.75186274423524,75.62739592088815,113,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-14,whitefield,Marathahalli Bridge,27326,53.18106207891991,1.5,86.9473032585126,100.0,1,104.652,48.81590577675911,89.95714679523654,50.61167864111332,93,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-14,koramangala,Sony World Junction,43316,32.93701370741341,1.5,100.0,100.0,0,136.632,51.45741707725456,98.27401684869216,89.75480311851346,95,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-15,koramangala,Sony World Junction,62277,39.66087298255321,1.5,100.0,100.0,3,174.554,58.05004170860353,63.11256824610253,70.47866359843806,100,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-15,koramangala,Sarjapur Road,43867,41.965939813546896,1.5,100.0,100.0,2,137.73399999999998,70.90820433650902,83.74983473786334,99.48014492885008,109,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-16,koramangala,Sarjapur Road,46460,32.4772287058437,1.5,100.0,100.0,2,142.92000000000002,12.200759608218291,76.52033015036254,77.50108208777102,88,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-17,whitefield,Marathahalli Bridge,23884,45.12853069155604,1.2161469448460152,85.31296797330998,100.0,1,97.768,73.95659377464116,67.43209572825822,65.918020657224,115,Clear,Yes,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-17,koramangala,Sarjapur Road,15083,37.12815468978727,1.1140257744813735,52.732455616730135,76.39692481847771,1,80.166,50.45044671436948,91.09453275355044,74.5386493161163,111,Fog,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-18,whitefield,Marathahalli Bridge,29153,21.58953485414811,1.5,95.30994525132654,100.0,0,108.306,74.71305926706445,60.98955630151532,55.27336309028262,98,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-18,whitefield,ITPL Main Road,30423,37.579957967916464,1.5,100.0,100.0,2,110.846,56.45754185495696,74.85429706091288,60.94764505060802,97,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-19,koramangala,Sony World Junction,60076,34.67443905778581,1.5,100.0,100.0,1,170.152,65.84267150671303,93.1606853584582,78.00012703193646,94,Rain,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-19,koramangala,Sarjapur Road,43897,43.43089498212829,1.5,100.0,100.0,1,137.79399999999998,17.876875321895923,89.11656386287763,99.54841683895472,101,Fog,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-20,whitefield,Marathahalli Bridge,22829,45.265135672152326,1.2062344667566416,73.97185609247919,100.0,3,95.658,69.29804071117921,73.66676560177667,67.81459435974746,113,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-20,koramangala,Sony World Junction,40402,39.376334300729766,1.5,100.0,100.0,2,130.804,16.898505066414035,63.00091040291504,79.63538716501924,100,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-21,whitefield,Marathahalli Bridge,6736,47.170695806480296,1.3428460600100425,23.99961386246333,29.273756419310946,0,63.472,53.14363670652888,73.41993272775314,75.65883342969778,223,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-21,whitefield,ITPL Main Road,6897,46.62650285016591,1.2698710514046143,16.696115920196213,29.98290422921604,1,63.794,17.59656824920679,93.356158034489,88.11987387730741,208,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-21,koramangala,Sony World Junction,30148,26.38142218070419,1.5,90.78331368979649,100.0,1,110.296,57.25238523394824,74.03855084202806,67.06699436001077,100,Rain,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-21,koramangala,Sarjapur Road,43448,33.4231686779797,1.5,100.0,100.0,2,136.89600000000002,53.83181719620316,80.87647721107331,78.7966227017896,98,Fog,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-22,whitefield,ITPL Main Road,23359,47.26098126796038,1.0926269913115707,78.11034156213114,100.0,3,96.718,31.15012289941883,66.4827472518812,96.38951857319633,97,Overcast,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-22,koramangala,Sony World Junction,49228,43.39316642027884,1.5,100.0,100.0,3,148.45600000000002,12.9560375648984,85.7361811735625,77.40230770816405,88,Windy,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-22,koramangala,Sarjapur Road,58363,21.2880600383341,1.5,100.0,100.0,2,166.726,74.14640431596193,68.6827062855337,68.95139869883536,101,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-23,koramangala,Sony World Junction,14735,40.56585852607853,1.212820904153282,41.410298239801605,78.02616241189389,2,79.47,69.59817129625215,92.14936301765958,95.10529323012302,201,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-23,koramangala,Sarjapur Road,61237,38.954237625993045,1.5,100.0,100.0,4,172.474,37.15341973666708,89.36715263620059,67.05663763311918,88,Clear,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-24,koramangala,Sony World Junction,66888,41.99871243999886,1.5,100.0,100.0,1,183.776,60.98095209422666,98.5946404640418,73.5117561767997,95,Fog,Yes,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-25,whitefield,ITPL Main Road,26754,35.10169608368135,1.5,98.63924000587129,100.0,3,103.508,77.52796207101036,77.30461564878313,50.07954132578868,111,Clear,Yes,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-25,koramangala,Sony World Junction,59245,39.327767783660505,1.5,100.0,100.0,2,168.49,30.56456125852285,62.44457449425851,56.968909309576944,92,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-25,koramangala,Sarjapur Road,41877,48.52281082922386,1.5,100.0,100.0,1,133.75400000000002,65.79081199547309,68.42765387384338,78.13906137430193,90,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-26,whitefield,ITPL Main Road,11489,41.75285005275246,1.1374185799876957,48.16995350682454,55.80713494071848,0,72.97800000000001,34.77468628898386,83.63125362544424,95.54952433115824,213,Overcast,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-26,koramangala,Sony World Junction,40466,20.31184793370599,1.5,100.0,100.0,2,130.93200000000002,34.71540249102266,92.15028224055038,80.05255181144454,100,Rain,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-26,koramangala,Sarjapur Road,26781,38.7412865243547,1.5,98.06996635260876,100.0,1,103.562,60.17062983695846,88.31173120967011,79.85661157542874,103,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-27,whitefield,Marathahalli Bridge,16119,45.23884446860462,1.257114568518803,48.95246936935046,80.79364428786617,1,82.238,36.14553408097417,75.33702219354882,98.35167542958654,107,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-27,whitefield,ITPL Main Road,15502,53.415384793253295,1.1131148649885592,60.307741265500695,74.48346396456125,1,81.004,74.43390998605999,93.28188550269113,85.26476089698207,94,Overcast,Yes,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-27,koramangala,Sarjapur Road,33645,36.784418142130576,1.5,100.0,100.0,2,117.29,54.43934139326997,99.137633224331,84.13446895480823,115,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-28,whitefield,ITPL Main Road,28898,32.09924332545185,1.5,92.06204587797718,100.0,3,107.796,72.42046130179745,85.20295718784928,68.10995704348822,101,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-28,koramangala,Sony World Junction,29592,37.7866845619766,1.5,90.98053546236888,100.0,5,109.184,15.181986346131774,83.84107514116805,76.95320528834635,112,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-29,koramangala,Sony World Junction,29601,20.0,1.5,100.0,100.0,2,109.202,64.36447253190546,68.46528936027778,82.82045697805745,86,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-29,koramangala,Sarjapur Road,31094,47.4867987099682,1.5,100.0,100.0,0,112.188,28.092375449745788,64.36306778400332,83.1204926176388,92,Clear,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-30,whitefield,Marathahalli Bridge,29229,20.0,1.5,100.0,100.0,2,108.458,12.218219467892377,78.50901506678632,86.20353851645544,94,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-30,whitefield,ITPL Main Road,22662,43.82270510138356,1.3413878349167143,75.2944372636233,100.0,5,95.324,27.019950480143983,96.11612946611147,98.496242231911,96,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-08-30,koramangala,Sony World Junction,43958,37.00415663433856,1.5,100.0,100.0,2,137.916,43.0642937283315,98.72395574953956,98.56896076290052,91,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-31,koramangala,Sony World Junction,63191,32.58604623133349,1.5,100.0,100.0,2,176.382,49.72041299969848,72.29593265932125,94.35734039059146,101,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-08-31,koramangala,Sarjapur Road,41586,40.61472235444634,1.5,100.0,100.0,2,133.172,25.331581892358216,87.15891648022826,80.69740283467594,106,Overcast,No,koramangala,"11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904",99.1%,85.8%,53.1%,97.5%,"1,80,001",34.9%,28.6%,"₹4,45,96,808",6.97,₹128.74,"24,37,405",12.92004,77.62546,89618925c9bffff
2022-09-01,whitefield,Marathahalli Bridge,26331,45.62697401333146,1.5,93.17547777827758,100.0,3,102.662,77.90458102796696,96.005589313028,78.38101137314142,92,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
2022-09-01,whitefield,ITPL Main Road,21262,42.72437362183663,1.042848572643327,63.25445982439708,100.0,0,92.524,57.03318773886144,65.06913607302758,80.5929000110806,103,Clear,No,whitefield,"8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977",99.2%,82.3%,41.8%,98.3%,"1,10,293",39.2%,20.4%,"₹2,92,80,129",8.52,₹151.14,"16,79,399",12.97869,77.69453,8961892e55bffff
